class,text
Neutral,@brady I am surprised @apple did not think of/anticipate that......
Neg,@apple #siri can't connect to the network -- it's LESS useful that VoiceControl now... :(
Neutral,RT @MyMelange: Wall to wall people security and a huge line outside just to get in the @Apple store.  http://t.co/i1khkgJm
Neg,9% now on my second full charge of the day. Pissed @Apple
Neutral,RT @hofmania: I just paid someone to wait in line at the @apple store this morning for me on @zaarly #putapriceonconvenience #iphone htt ...
Pos,Video card on @Kimaris workstation died after just six months. So long @hp. Hello @apple.
Pos,@apple loving the new IOS5 upgrade for the iPhone!
Neutral,#Win an @Apple iPod Touch from @Mommy_gaga get the @Pampers Hello World Baby Memories App! http://t.co/YUydxo1t #PampersHelloApps
Neutral,@apple store #Towson waiting at Genius bar - huge crowd waiting for #iPhone 4s @michaelmark @nicolelil http://t.co/x92sweCh
Pos,dammit listening to siri is making me want to upgrade. well played @apple.
Neutral,#Iphone5 can you please make The battery last longer thanks @Apple
Neutral,Found out the hard way today that @webex does not work with @apple ios5 yet when you are following a link for a meeting..
Pos,So yeah... @apple #iOS5 #readinglists have changed my life. #nowicanspendevenmoretimeonmyphone.
Neg,@apple why isn't my iTunes updating? I just wanna update my iPhone to IOS5!!! Then iTunes says that it needs to update to do it. Then fails!
Neutral,Check this video out -- moe. plays Live on iPads. Video dedicated in memory of #SteveJobs http://t.co/XSiyDnqu @ipad @mac @apple #brilliant
Pos,I love @apple service . My case has cracked 3x and I go in and they hand me a case and I walk out
Neg,Now @apple won't let me use credit on @iTunes unless I have a credit card. Should have told me when I redeemed the cards. Sound fair to you?
Neg,I don't really like Siri's voice. Perhaps @apple can get Star Wars voices just like @garmin http://t.co/pSUJg9pN
Neutral,@apple @appstore @mac @iOs @Ipad @siri Will siri be available for iPad 2?
Neutral,Bah! Genius BAR // RT @edatpost: .@Apple fan Eric Holder spotted at the Genius Store http://t.co/FTLttLPn
Neg,Why book @Apple Genius Bar if after 2.5 hours you still can't be served. Disappointing Apple Store Sydney. #thanksfornothing
Neutral,@notleifgarrett @apple wished their on hold music played Pictures of You.
Pos,@SteveJobs being honored tonite @Apple...A truly great loss to the world.He will so be missed
Neutral,got the new @apple update
Neg,Ok this @Apple software update for the #iphone is taking waaaaay too long!#annoyed
Neg,Been on hold with @apple customer service for 25 minutes. Wow lt's like they're #timewarnercable.
Neutral,Does the iPhone4S no longer have that stupid 'network lost' pop up - possibly the most annoying thing ever that you cannot turn off @apple ?
Pos,i used to be with @blackberry over 4-5yrs .. after all the disruptions and lost gigs thx to their service im moving to @apple #iphone
Neutral,Smart as hell. The Great Tech War Of 2012 (@fmanjoo / @FastCompany) http://t.co/XiJYUoHZ Fab Four: @apple @google @amazon @facebook
Neg,@apple needs to hurry up and release #iTunesMatch
Neutral,Iphone update is great but seriously @apple let me delete stuff I dont want like gamecenter. Steve wont mind...
Pos,Well @apple fixed my #ios5 battery drain problem with a replacement iPhone 4 -- it's working like a champ now
Neutral,IHS: iPhone 4S shows key design and component changes. http://t.co/UxfA8Ukg  @apple #apple #iphome4S #ios5
Neg,The one #iphone feature still missing since @apple first showed it.. Contacts pictures on the contacts list! Simple yet 5 major updates miss
Neutral,@Keke71 @blackberry @apple haha I know. So sad.
Neutral,RT @shanmoorthy: Next year is going to be really interesting in tech as @Google @Amazon @Facebook and @Apple vie for new growth areas  ...
Neutral,@apple should make Siri avalible for all devices not exclusive to the iPhone 4S
Pos,Currently ordering a BRAND NEW MACBOOK PRO!!! Bahhh... my MacBook is 5 years old. I'll miss it. But it's time. cc: @Apple -
Neg,Warning: if iphone apps spontaneously loose data it might not be the app's fault - http://t.co/1SEsvWwm #ios5downgrade @apple @marcoarment
Pos,@apple Siri is amazing
Neutral,@apple Give Siri back!
Pos,hey @apple I hate my computer i need a #mack wanna send me a free one.
Neg,@Apple thank you for sucking so much. I cannot believe you would sell something online that isn't made
Neg,@hbogo @apple - why don't you play nice and let me use HDMI from iPad?  Pretty lame.
Neg,Is it me or does #iPhone4s run a little warm sometimes? @apple
Neutral,Right. Migrate from older mbp to imac using ethernet not firewire. Thanks Drew for saving me some $. @apple http://t.co/IAHHaGXy
Neutral,iPhone 4S 8MP camera : Its a SONY. http://t.co/njTHOi2x @sony @apple #apple #iphone4S #cameras
Neutral,@JarjarTee @apple That's really good. Makes you happy to pay the infamous @apple tax :)
Neutral,picking up my #iPhone4S in two hours @Apple!
Neutral,The great tech battle ft @facebook @amazon @apple and more http://t.co/ws4lWWXy via @fastcompany
Neg,@mashable @apple iphones r 2 expensive. Most went w/ htc/galaxy. No customer loyalty w/phone comp..
Neg,@phxguy88 @Apple @BGR That's why all the ppl who stand in line for hrs to get the newest model are suckers...
Neg,@Apple Siri is down!
Neutral,The takeaway from the @Apple earnings call?  Even Apple needs a new iPhone release every 12 months to stay competitive. cc: @hblodget
Neutral,RT @iancollinsuk: Apple have just announced they sold 4 million phones this weekend. Incredible. That recession continues to bite @apple ...
Neutral,#Steve #Jobs #Tribute iPhone 4S Cases Now Available #iphonecaseshttp://t.co/2hyurIiq#stevejobstributecases@ikaveri @iamsrk @apple
Neg,@apple your update server has been timing out for a week. i had to force a restore w/the new #iOS5 software. lost all my stuff. thanks!
Neg,@Apple - #Siri is not working due to network problem? Seriously? Can you fix this? #iPhone4s #Fail
Pos,_ibertaddigital.tv/ iPad a briliant SteveJobs produck http://t.co/00ohfLY6@Apple present... http://t.co/DBbWSDpx
Neutral,iPhone 4 S now RESERVATION only if you want to buy it in an @apple store tomorrow you have to reserve online after 9pm tonight
Neutral,This video brought a small tear to my eye http://t.co/3va2ninp. Watch to @SteveWoz opinion of #SteveJobs and @Apple
Neg,This is the first time I've been unhappy with any @apple product... Disappointed and the Internet seems as confused as I am right now.
Neg,Hey @Apple...I know Steve Jobs died & all but my Twitter for iPad app keeps crashing...Fix it...NOW..please..lol -F.Light
Neg,@apple the reservation system not working shows no products avail let alone iphone 4s I had the site open in 3 browsers at 9 PM and nothing
Neutral,How I manage my businesses/life: @pivotaltracker @37signals @twitter @googleapps @apple @dropbox @wordpress @dreamhost THX
Neutral,#motoactiv? Methinks @apple and maybe @Nike are already prepping lawsuits
Neutral,@Apple how fun wouldn't it be if it was possible to integrate  ( soon to be named ) with notifications?
Neutral,@Apple Not Likely to Win Appstore Suit Case Against @Amazon http://t.co/GNcDGQsc
Neg,@albertmal88 remember @apple is evil. #icloud entering the #dropbox market
Neg,@apple is there a problem with iOS 5 that is preventing audio apps and audio functions from operating properly? I keep losing sound.
Neutral,@davidcohen Sounds like 2nd day strategy isn't working. We got ours yesterday - in and out in no time. @Apple staff awesome/efficient!
Neg,RT @ScottDugas: Warning: if iphone apps spontaneously loose data it might not be the app's fault - http://t.co/1SEsvWwm #ios5downgrade  ...
Neutral,@apple stuck it to @amazon when it unveiled iCloud showing that the placement of 'i' before the name of even a failed effort yields success
Neutral,Going to the @apple store today to get this laptop situation figured out
Neutral,this reader button for safari is perfect for fic @apple #ios5 #stevejobsday
Neg,@electricsoup It has to connect to @Apple to process commands which it is failing to do right now
Neutral,..... Um why No black people@Apple
Neutral,@apple can you get your iphone to stop vibrating when you get a text?
Neg,Only thing bad about the new @canon camera is that it has two compact flash cards... not one of SD. SD goes in my @apple computer. Damn you!
Neutral,Digital X Worldwide | Today Is Steve Jobs Day In California @apple http://t.co/QSCHuMIN
Neutral,I want Siri on my iPhone4 ! @apple
Neutral,@Apple why no Macbook mirroring onto AppleTV via #Airplay?
Neg,I hate my @apple computer.  Thats 3500 dollars down the drain.
Neutral,Too many iPhones.  @apple @dcoult #FirstWorldProblems http://t.co/Ck4yfFSY
Pos,I'm a current @Blackberry user little bit disappointed with it! Should I move to @Android or @Apple @iphone
Neg,This. RT @bonkoif Looks like @Apple did not appropriately project the resources needed for Siri. Not very reliable
Neutral,#Win an @Apple iPod Touch from @Mommy_gaga get the @Pampers Hello World Baby Memories App! http://t.co/nDRpciY9 #PampersHelloApps
Neg,removing all @apple shit.
Pos,My iPhone 4S battery lasted longer than a day. That hasn't happened since my edge iPhone. Nice job @apple.
Neg,Just searching with my voice on my 2 year old nexus one @apple.
Neutral,@apple Iphone's & Ipad's beautiful technology but alltogether mainly a marketing platform. It's obscure is'nt it? Apple lost it's touch.
Neg,@pmphillips @apple If my non-Apple equipment broke this often I guess I'd need an Asus genius bar. But it doesn't so I don't :-)
Neutral,U know the @apple company are giving out 500 iPads because Steve jobs past away
Neutral,As tribute to Steve @apple i'd consider renaming #Siri to Steve - he'll get your #Jobs done!  Forever remembered for his legacy.
Neg,oh.. my iphone is overcapacity huh?! -____-  @Apple won't let me be great!!!
Neg,I wish the Apple updater would stop trying to ram iTunes down my throat. I don't own a pissing iPhone @apple
Neg,Damn you @apple for breaking wififofum! It continued to work in ios 4. Was one of my most used apps. Damn Apple's overbearing policies!
Neutral,Good or Bad results for @Apple ? Depends on who you ask apparently http://t.co/yDH8ffxE
Neg,RT @JimMcNiel: if @apple does not resolve the #Siri network issues they will need to rename a great product to Sorri - Who else is havin ...
Neg,@apple What's the point of iCloud wireless updates when ios5 now forces me to use the computer to charge my ipod touch now? #worstupdateever
Neg,Clarence Thomas must have designed the new OSX lion tossing decades of workflow standards @apple bring back save as! #autoSaveSucks
Neg,@apple why is my iPhone battery so crappy #fail
Neg,Love @apple downloads. 4 hours and i-pad now wonky! #ripstevejobs #thenonsensepersists #neednewipadguide #fatfuckingchance
Neutral,@apple http://t.co/awASwV5u
Neutral,RT @fredbenenson: Hey @twitter and @apple this is pretty dumb. http://t.co/kubkPO0T
Neg,@apple I committed to your cloud storage iDisk and now it's raining :-( so soon no more iDisk.  Any plans for a new service for storage?
Neg,but seriously @apple finance me a damn phone you greedy bastards! OR Santa...get your jolly ass in gear and get us a 4S - white plz
Neg,As a huge podcast fan - I really feel like @Apple dropped the ball on this one. http://t.co/wvzPrbCI via @Carrypad
Neutral,Just realized Apple doesn't even have @Apple on lock. This dude R.J. Pittman waiting for thee fattest check.
Neutral,@apple #siri http://t.co/k7b686hX
Neg,RT @tomcolontonio: Didn't it occur to @apple #apple that ppl share iTunes accounts amongst family's ?????Wtf!!!!
Neutral,SpeechTrans http://t.co/TW3SzX61 on @Apple App store listed as the #best bi-directional #Speech To Speech #Translator --- Posts on Twitter
Neutral,Yeah there's no @apple twitter account.
Neutral,Will @Apple's Mac ever properly be used in the financial markets or is it purely a creatives device? Shift from IBM to Mac? #finpanther
Pos,So I am using my work PC (NEVER EVER) to get a feel for it; it has the worst speakers ever!! @apple you have spoiled me!! #imamac
Neg,@apple @iphone Please deliver my daughter's i4s she is driving me nuts #iphone
Neutral,@apple store to get my phone fixed... ppl lined up for 4s http://t.co/aUHQLiVy
Neutral,Video: SIRI also gets angry. http://t.co/ksX2XZoR  @chrisvoss @apple #apple #siri #iphone4S #Ai
Pos,@KostaTsetsekas @apple Putting it in the wash is kind of the equivalent to Will it blend? Glad to hear it's still alive.
Neg,So apparently @apple put MB cap on your SMS with the new update. 25mb storage before it tells you your inbox is full. What is this 2001?
Neutral,What's up #twitpeeps? How's every @apple user liking iOS 5?
Neutral,Apple Users Get The official Kalifornia Cavi App on your Apple Device now on  - powered by @Apple - Download it free http://t.co/HlGnvlRw
Pos,#Siri now knows who my dad mom brother and girlfriend is.  Thanks @apple
Pos,@apple..good ipad
Neutral,@apple #readyfor5.0.1 http://t.co/M2FqakYr
Neutral,iPhone 4S vs Canon 5D MKII. @apple @canon @iphone http://t.co/PvKqad33
Neutral,@Apple's Success is Also #Google's Gain as #Mobile #Advertising Balloons http://t.co/0400ynQY
Neg,@apple you can suck it you and your fucking iPhones better be glad it's all I like cause the service Is fucking terrible
Neutral,Follow me and I follow you!! @iOS5 @fansoflilwayne @follow @apple
Neutral,@samsung and @apple never rest as they battle in court yet again over tablets.(not the pills)
Neutral,...now with Siri were talking to our iPhones... how will we ever know if people are really truly crazy? :P #iphone4s #Siri #apple @apple
Pos,Thank you Steve @apple store 5th av. http://t.co/nSAisriP
Pos,@azee1v1 @apple @umber AppStore is well done so is iTunes on the mobile devices.  I was talking about desktop app.
Pos,Save me from #HP's unwanted OS! Help me buy an #iPhone! I have seen the light! #lol http://t.co/8gUP9Acz #backchannel @apple
Neutral,RT @iancollinsuk: Apple have just announced they sold 4 million phones this weekend. Incredible. That recession continues to bite @Apple
Neg,@apple No I won't wait until thursday for an available appointment just so a 'genius' can tell me I'm shit out of luck. #now
Neg,It would be great If @Apple would send my new phone. #frustrated
Neutral,Cat accusing tiger for roaring  #Samsung on @Apple
Neg,RT @gdcurry: Really @Apple?  What have you done to my iTunes now?  I can't click on Music Movies TV Shows or any playlists. I get a l ...
Neg,For being the inventor of the computer mouse  Why is it that @Apple has never made one that is not a complete piece of fucking shit?!!?
Neutral,eating @apple xDD
Pos,Create new folders from within your photo album in #iOS5 finally!! Thanks @Apple that's been a thorn in my side for a while. #newfeature
Pos,@apple the iPhone 4s is great #genius
Neutral,Do wish @hudl would come up with a native @apple Mac version of their video editor especially with HD video.  But love everything @hudl
Neg,Also @EricGreenspan don't forget @Apple stop closing the app store after each bloody purchase...
Neg,Houston we have a problem!! My iPad has been restoring for 12+ hours after installing @apple IOS5. This can't be right....
Neutral,RT @TravisDommert:Is leaving Steve's photo on the @apple home page what he would really want? In his honor...let's get back to #innov...
Neg,It's been 24hrs since I reported @ups theft of my iPhone and @apple has done nothing. No return call as promised. Nothing.
Neutral,Waiting on line @Apple store at west 14th Street.
Neg,Oh just fuck you @apple. Already?? ---&gt;  iPhone 5 on schedule for summer launch? http://t.co/Ofh9PTaG via @BGR
Neutral,@AsimRang @apple @umber the podcasts feature works just fine music purchasing is straight forward what else do you want?
Neg,fuck u @apple
Neutral,@Apple buried the ability to manage #newsstand subscriptions under App Store Settings. This is inconvenient at best.
Neutral,@apple expanded the app store to more than 20 new countries in the december quarter
Neg,@AsimRang @apple @umber the desktop app is wack though
Neg,@Apple iTunes is the worst program ever. For such a great phone you make some awful software.
Neutral,Wow... @Apple sold 4 million iPhone 4S in a single weekend... http://t.co/WDLHZsza
Neg,All I can say about @Apple right now is #GoodRiddance  See? Cancer isn't ALL BAD!
Neutral,RT @TravisDommert: Is leaving Steve's photo on the @apple home page what he would really want? In his honor...let's get back to innovati ...
Neg,Apparently @Apple genius training doesn't extend to clocks & service. They're half an hour late for my appointment and couldn't let me know?
Neutral,@apple So why is Siri only available on the iPhone 4S ?   - http://t.co/QZuNgyLW
Neg,RT @CircusTK: I'm wit chu!! @ShayDiddy: Officially boycotting @ups!!! Calling @apple to curse them out next for using them wasting my t ...
Neutral,@reddclay81 Well then!P.S. Did you respond so fast because of @Apple 's #iOS5 ?
Neutral,RT @TimjwDowning: #iOS 5  is a great system but it's taken all day to download @apple
Pos,Not Bad! @Apple Sells Over 4 Million #IPhones in Debut Weekend - Bloomberg http://t.co/AVSl3ygU - #smartphone #sm RT @VinodRad
Neutral,has the new iOS5 changed the way the iPad charges? I've noticed I can charge from my laptop & iPhone charger now @toptweets @BBCClick @apple
Neutral,@Apple why do you have such a beef with @Windows?  #cantwealljustgetalong
Neutral,can't wait for @Spotify and @Apple to integrate with Siri.
Neg,THiS IS WHAT WiLL KiLL APPLE http://t.co/72Jw4z5c RiP @APPLE
Neg,So my iMessage still isn't working! @apple
Neg,@Apple your service experience is really fucking slipping (except for cute eyelash batting girlies). (@ Apple Store) http://t.co/dOHDEnMg
Neg,@paulens It surprises me that @Apple throws up an error alert about authorizing and there's no Authorize this computer button.
Neutral,A Great iPhone 4S Review @engadget @iphone @apple http://t.co/gX07Qywe
Neutral,@apple please provide support for a Bangla keyboard in iOS. It would make the life of many Bengali iOS users easier! #iphone
Pos,Once again getting great customer service from the @apple store at millenia mall.
Neg,@apple thanks for ios5 - loving having my music breaking up like I'm talking on a mobile (cell) phone. Bring back functional 4 #iosdonwgrade
Pos,Love #ios5 Easter eggs. Pull down from middle top to bottom and see what pulls down. Awesome little feature! @apple #lovemyiphone
Neutral,Too bad I'm not an @Apple junkie. #icloud #apple #ios5
Pos,Hilarious @youtube video - guy does a duet with @apple 's Siri. Pretty much sums up the love affair! http://t.co/8ExbnQjY
Neutral,@apple underplayed the power of the iPad via @mitchjoel &lt;yup #SOCAPac11
Neutral,@paulbentleymelb @apple I think they call that profit-making 'genius'
Neg,@philipgrey: dear @apple why you gotta go change the way &lt;input type=number&gt; is handled out of the blue?
Neutral,Flowers & Apples shower the Santa Monica @Apple store in honor of #SteveJobs http://t.co/xGf60gMs
Neg,RT @cjwallace03: So apparently @apple put MB cap on your SMS with the new update. 25mb storage before it tells you your inbox is full. W ...
Pos,RT @tomkeene Thx @instagram Thx @apple #hypo #D-76 #tri-x http://t.co/BPPJwncp
Neutral,These cos are worth billions: @Apple @Facebook @Google & @Amazon and they are battling for consumers  http://t.co/4WxPCH9h via @fastcompany
Pos,@Apple downloads of iOS 5 are proving popular with users  -- http://t.co/NSHLfiUX
Neutral,@ATTCustomerCare @att @apple I already have an ATT wireless line. Can I buy a factory unlocked iPhone 4S with my contract?
Neutral,My friend @bm88 found this article on the #ios5 battery drain problem http://t.co/zMX85Fkd @apple
Pos,The #iphone4s is  amazing. Siri's voice recognition is absolutely a step above previous attempts. Bravo @apple
Neutral,@apple gonna see if anyone stayed logged into their fb or twitter #TroubleMaker
Neg,The line at the @apple is just STUPID
Neutral,@fashionNOGuilt haha! tomorrow should be less hectic too! 'cause everyone and their moms was at the @apple store today! ;]
Pos,Thx @instagram Thx @apple #hypo #D-76 #tri-x http://t.co/D7EeJHBT
Neg,@apple I'm still waiting for you to deliver my phone to @sprint
Neutral,@AsimRang @apple @umber when you upgrade to ios5 there is a section in app store which lets you download anything you have purchased before
Neutral,@bidmyway I like your app for the @apple iPhone very simple and easy to use!
Neutral,SpeechTrans http://t.co/TW3SzX61 on @Apple App store listed as the #best bi-directional #Speech To Speech #Translator ---- Posts on Twitter
Neg,Iphone 4s siri doesn't work for shit @apple
Neutral,RT @rickholgate: Packed session on @Apple and @Google at #GartnerSYM. Indicator of today's mindshare?
Neutral,WOW DOGS!!@Apple w/Starr earlier - upstairs in the huge soho store and all of a sudden she sprung to attention... http://t.co/b2PLMYVD
Neutral,#SteveJobs memorial at the Leawood @Apple store. http://t.co/UVgb05G6
Neg,. if u need me just text me o wait u i wont get it cuz @apple fucks me every time #fuckingpissed
Neg,@apple No location reminders on ipad2! That was the point of updating to iOS 5
Neutral,#iMessage is here wid iOS5 RIP #BBM @cultofmac @apple
Pos,I &lt;3 @apple http://t.co/ondXWpEr
Neg,*sigh* @apple store seems stumped what to do about my catastrophically bad battery life after upgrading to #ios5
Neg,#Siri went down for a little while last night. Come on @apple! Get your shit together on this launch!
Neg,RT @nansen: so this SMS full message is known @apple issue with new iOS5 update. trying restore. When all else #fail - restore.
Pos,From which companies do you experience the best customer service aside from @zappos and @apple?
Neg,what is going on with all my @Apple products?! First my #iPad freezes (still is frozen) and then my #iPhone won't turn on!!! #techieTroubles
Pos,Time to go get my iPhone 4s.  Looking forward to sticking it to the man by no longer paying for most texts.  Thanks @apple.
Neutral,I don't get it. Instead of @apple dropping the 16GB iPhone 4 down to $99 they release an 8GB one for $99???
Neg,@apple: Multiple times siri is having trouble connecting to the network.  Siri needs servers (and some exercise!)
Neg,@apple If you want to know what customers think dont send updates with the noreply return address. Who invented that anyway. #useless
Pos,4 millions in a weekend 16 #iPhone4S per second. This is madness?! no this is @Apple !!!
Neg,DAMN YOU !!! @apple
Neutral,Hi @apple. Household has 4 iphones 2 ipads 2 minis 2 apple tv AirPorts Timecapsule +. Whats a usable iPhoto sharing setup? /cc @maddox
Neg,i officially HATE @apple... fix your damn itunes.
Neutral,Comparing the @apple & @BlackBerry apps/interfaces can anyone imagine how @BlackBerry could have done worse? #sadreally
Neutral,New #iOS5 notification center is a big improvement but @apple missed an easy trick by not making it fully available on lock screen.
Neutral,Ever since I cleaned my Mighty Mouse ball with alcohol to get it rolling again any time I click the ball it acts like a left click. @Apple
Neg,@apple give me my apps back!!!
Neutral,@Apple Stores to close for one hour on October 19 to watch #SteveJobs #memorial http://t.co/fbjqb5RA via @9to5mac #tech #porchista
Pos,Just downloaded IOS 5. It's better than I expected! #thankyou @apple
Neutral,RT @bsdalton: @apple underplayed the power of the iPad via @mitchjoel &lt;yup #SOCAPac11
Neutral,Now who can guarantee that @apple hd nothing 2 do with @Blackberry RIM server failure?!Days after over 4million iPhone 4S sold in 3days!?!
Neutral,In case you were curious like me.... IPhone 4S: Which Apple #iPhone is Best for Price Features? http://t.co/d1LonCzc @Apple #HealthIT #EHR
Neutral,Twitter buzz for Best Buy: http://t.co/9SesENTu - RT @acappellamedia OH: Sales guy @BestBuy: &quot;I'm not selling or using any @apple p...
Neg,If @apple doesn't fix iOS5 this week I'm buying a droid #emptythreats
Neutral,@thejcurt unlocking it at @apple store. RIP Mr. Jobs.
Neg,Why is the new @apple iPhone OS duplicating all my iCal events? There's 2 of everything. How do I fix it? (tried turning iCloud off)
Neutral,#Siri I could have done with out its not that great #iPhone4S I hear the #iPhone5 is coming out #2013 @apple.inc
Neutral,started out as a trip to the @apple store. turned into a spontaneous fun evening w @MolleyMoody. we danced while trying on outfits. #girls
